lat,long,agi
47.736838,-117.411732,38067
47.619687,-122.200551,239631
47.619744,-122.200532,239631
47.61974,-122.20052,239631
47.612468,-122.194308,239631
47.619679,-122.200523,239631
47.619715,-122.200473,239631
48.10556,-123.40325,38344
46.71111,-117.17948,41024
47.4742,-122.24461,45670
47.613392,-122.195757,239631
47.613392,-122.195727,239631
47.613391,-122.19581,239631
47.613389,-122.195787,239631
47.613391,-122.195743,239631
47.606215,-122.037426,124931
47.61339,-122.195775,239631
47.613392,-122.195765,239631
47.613391,-122.195822,239631
47.61339,-122.195793,239631
47.613391,-122.195782,239631
47.673966,-122.103558,104401
45.563002,-122.325741,46414
45.56304,-122.325634,46414
45.562604,-122.326084,46414
45.562567,-122.325966,46414
48.102863,-123.342273,38344
47.463409,-120.331529,37355
45.56304,-122.32558,46414
47.62624,-122.52045,118406
46.272432,-119.182453,28619
45.562907,-122.325816,46414
47.527279,-122.033704,91358
47.70642159,-122.18424008,81474
47.705801,-122.234482,81474
47.6303953,-122.1284522,93669
47.031936,-122.930397,50031
47.031736,-122.930764,50031
47.531819,-120.300871,37355
47.028426,-122.8942,45355
47.622439,-122.178864,117231
47.622458,-122.178904,117231
47.622438,-122.178891,117231
47.625644,-122.341968,130936
47.625645,-122.341914,130936
47.544619,-122.017533,92257
47.544561,-122.017533,92257
46.9847271,-122.9116758,45355
47.625578,-122.342054,130936
47.565076,-122.32205,161615
45.71609,-121.46967,33926
47.628913,-122.374255,121779
47.629005,-122.37427,121779
47.628833,-122.374083,121779
47.62887,-122.37405,121779
47.628949,-122.374183,121779
47.62902,-122.374217,121779
47.628906,-122.374292,121779
47.628952,-122.374166,121779
47.62877,-122.374164,121779
47.628734,-122.374079,121779
47.628986,-122.374253,121779
47.628828,-122.374029,121779
47.628831,-122.374123,121779
47.628816,-122.374053,121779
47.62879,-122.373934,121779
47.628781,-122.373925,121779
47.628977,-122.374338,121779
47.628839,-122.374202,121779
47.630845,-122.377326,121779
47.520043,-122.344155,49607
47.630379,-122.377129,121779
47.630731,-122.377299,121779
47.630844,-122.377344,121779
47.2334631,-122.3455343,39430
47.6656,-117.19012,39320
46.652275,-120.54048,36089
46.65216,-120.54041,36089
47.115002,-122.294053,34868
46.652264,-120.53995,36089
46.65222,-120.540146,36089
47.702714,-122.334822,52359
46.652363,-120.53998,36089
46.653072,-120.539856,36089
47.443065,-122.225152,45670
47.622478,-122.178862,117231
47.622486,-122.177564,117231
47.622496,-122.177518,117231
47.622504,-122.17756,117231
47.622484,-122.17752,117231
47.622495,-122.177544,117231
47.622463,-122.178858,117231
47.538387,-122.293403,45088
47.800342,-122.33173,59103
47.186179,-122.462768,30645
47.622435,-122.178878,117231
47.62244,-122.178907,117231
47.622467,-122.178891,117231
45.817752,-122.682883,57400
46.107135,-122.941812,32571
47.397945,-120.263405,35645
47.398136,-120.263596,35645
47.398167,-120.26353,35645
47.61309,-122.206569,239631
47.52439,-122.294334,45088
47.624088,-122.336144,130936
47.624117,-122.336165,130936
47.624108,-122.33611,130936
47.624088,-122.336176,130936
47.624137,-122.336153,130936
47.624035,-122.336045,130936
47.678705,-122.206739,187933
47.622622,-122.177263,117231
47.622527,-122.1773,117231
48.418198,-122.334391,34728
47.663672,-122.098617,104401
47.446482,-122.148366,48364
